"ORI","year","department_name","total_pop","homs_sum","rape_sum","rob_sum","agg_ass_sum","violent_crime","months_reported","violent_per_100k","homs_per_100k","rape_per_100k","rob_per_100k","agg_ass_per_100k","source","url"
"NM00101",1975,"Albuquerque, N.M.",286238,30,181,819,1353,2383,12,832.523983538174,10.4807887142867,63.2340919095298,286.125531900027,472.683571014331,NA,NA
"TX22001",1975,"Arlington, Texas",112478,5,28,113,132,278,12,247.159444513594,4.44531375024449,24.8937570013692,100.464090755526,117.356283006455,NA,NA
"GAAPD00",1975,"Atlanta",490584,185,443,3887,3518,8033,12,1637.43619848996,37.7101576896108,90.3005397648517,792.320988862254,717.104512173247,NA,NA
"CO00101",1975,"Aurora, Colo.",116656,7,44,171,389,611,12,523.76217254149,6.00054862158826,37.7177341928405,146.584830613085,333.459059113976,NA,NA
"TX22701",1975,"Austin, Texas",300400,33,190,529,463,1215,12,404.460719041278,10.9853528628495,63.2490013315579,176.098535286285,154.127829560586,NA,NA
"MDBPD00",1975,"Baltimore",864100,259,463,9055,6309,16086,12,1861.59009373915,29.9733827103345,53.5817613702118,1047.91112139799,730.123828260618,NA,NA
"MD00301",1975,"Baltimore County, Md.",642154,25,137,750,347,1259,12,196.058889300697,3.89314712670169,21.3344462543253,116.794413801051,54.0368821186195,NA,NA
"MA01301",1975,"Boston",616120,119,453,7778,3036,11386,12,1848.01662013893,19.3144192689736,73.5246380575213,1262.4164123872,492.761150425242,NA,NA
"NY01401",1975,"Buffalo, N.Y.",422276,63,192,2340,755,3350,12,793.320008714679,14.919152402694,45.4678930367816,554.139946385776,178.793016889428,NA,NA
"NC06001",1975,"Charlotte-Mecklenburg, N.C.",262103,68,71,822,976,1937,12,739.022445374528,25.9439991148518,27.0885873110953,313.617165770708,372.372693177873,NA,NA
"ILCPD00",1975,"Chicago",3150000,818,1657,22171,12514,37160,12,1179.68253968254,25.968253968254,52.6031746031746,703.84126984127,397.269841269841,NA,NA
"OHCIP00",1975,"Cincinnati",433367,64,261,1745,1508,3578,12,825.628162735049,14.768083402751,60.226090126844,402.661024028133,347.972965177321,NA,NA
"OHCLP00",1975,"Cleveland",659931,288,491,7100,2524,10403,12,1576.3769242542,43.6409260968192,74.4017177553411,1075.87005308131,382.464227320735,NA,NA
"OHCOP00",1975,"Columbus, Ohio",572797,62,416,2402,1100,3980,12,694.836041389882,10.8240790367268,72.6260786980379,419.34577171319,192.040111941927,NA,NA
"TXDPD00",1975,"Dallas",864665,237,547,3386,3485,7655,12,885.31396552422,27.4094591547015,63.2614943359567,391.596745560419,403.046266473143,NA,NA
"CODPD00",1975,"Denver",508140,74,480,2568,1838,4960,12,976.108946353367,14.5629157318849,94.462156098713,505.372535128114,361.711339394655,NA,NA
"MI82349",1975,"Detroit",1432444,633,1424,21317,7013,30387,12,2121.33947295671,44.1902091809523,99.4105179678926,1488.15590696739,489.582838840471,NA,NA
"TX07102",1975,"El Paso, Texas",369000,21,122,840,635,1618,12,438.482384823848,5.69105691056911,33.0623306233062,227.642276422764,172.086720867209,NA,NA
"VA02901",1975,"Fairfax County, Va.",487905,21,104,433,247,805,12,164.991135569424,4.30411658007194,21.3156249679753,88.7467847224357,50.6246092989414,NA,NA
"TX22012",1975,"Fort Worth, Texas",381275,69,169,1207,494,1939,12,508.556815946495,18.0971739558062,44.3249622975543,316.569405284899,129.565274408236,NA,NA
"CA01005",1975,"Fresno, Calif.",176500,25,84,567,465,1141,12,646.458923512748,14.1643059490085,47.5920679886686,321.246458923513,263.456090651558,NA,NA
"HI00200",1975,"Honolulu",705262,58,169,1050,319,1596,12,226.29887899816,8.22389409893061,23.962725908953,148.880841446158,45.2314175441184,NA,NA
"TXHPD00",1975,"Houston",1372342,347,588,6422,1567,8924,12,650.275222940054,25.2852423084042,42.8464624707252,467.959153039111,114.184365121814,NA,NA

"LANPD00",1994,"New Orleans",493990,424,436,4822,3639,9321,12,1886.88030122067,85.8316969979149,88.260895969554,976.133120103646,736.654588149558,NA,NA
"NY03030",1994,"New York City",7336224,1561,2666,72540,59755,136522,12,1860.93009155664,21.2779762450002,36.3402208002373,988.792054332038,814.519840179362,NA,NA
"NJNPD00",1994,"Newark, N.J.",271025,96,207,5775,4331,10409,12,3840.60511022968,35.4210866156259,76.3767180149433,2130.79974172124,1598.00756387787,NA,NA
"CA00109",1994,"Oakland, Calif.",379695,140,323,3877,3990,8330,12,2193.86612939333,36.8716996536694,85.0682784866801,1021.0827111234,1050.84344012958,NA,NA
"OK05506",1994,"Oklahoma City",461271,65,546,1748,4112,6471,12,1402.86295908479,14.0914993572108,118.368594600571,378.95293656007,891.449928566938,NA,NA
"NB02802",1994,"Omaha, Neb.",344975,33,217,918,2762,3930,12,1139.21298644829,9.56591057322994,62.9031089209363,266.106239582578,800.637727371549,NA,NA
"FL04804",1994,"Orlando, Fla.",180288,17,144,1095,2853,4109,12,2279.13116790912,9.42935747248846,79.8722044728434,607.36155484558,1582.46805111821,NA,NA
"PAPEP00",1994,"Philadelphia",1560576,404,721,12706,6807,20638,12,1322.46042486877,25.8878772965879,46.2008899278215,814.18655675853,436.185100885827,NA,NA
"AZ00723",1994,"Phoenix",1076108,231,438,3451,7507,11627,12,1080.46775974159,21.4662468822832,40.7022343482253,320.692718574716,697.606559936363,NA,NA
"PAPPD00",1994,"Pittsburgh",368594,64,261,2469,1311,4105,12,1113.69148711048,17.3632777527578,70.8096170854653,669.842699555609,355.675892716648,NA,NA
"OR02602",1994,"Portland, Ore.",463072,50,400,2344,6014,8808,12,1902.08002211319,10.7974569829314,86.379655863451,506.184783359823,1298.71812590699,NA,NA
"MD01721",1994,"Prince George's County, Md.",637404,115,380,3498,3385,7378,12,1157.50764036624,18.0419325890644,59.6168207290823,548.788523448237,531.060363599852,NA,NA
"NC09201",1994,"Raleigh, N.C.",228090,30,89,825,1226,2170,12,951.3788416853,13.1527028804419,39.0196852119777,361.699329212153,537.507124380727,NA,NA
"CA03404",1994,"Sacramento, Calif.",389458,62,174,2292,2170,4698,12,1206.2918209409,15.9195600039029,44.6774748496629,588.510185950732,557.1846001366,NA,NA
"UT01803",1994,"Salt Lake City",174827,20,158,502,640,1320,12,755.032117464694,11.4398805676469,90.3750564844103,287.141002247937,366.0761781647,NA,NA
"TXSPD00",1994,"San Antonio",999900,194,565,2781,2931,6471,12,647.164716471647,19.4019401940194,56.5056505650565,278.127812781278,293.129312931293,NA,NA
"CA03711",1994,"San Diego",1168785,113,403,3845,8238,12599,12,1077.95702374688,9.66815967008475,34.4802508587978,328.974105588282,704.834507629718,NA,NA
"CA03801",1994,"San Francisco",741568,91,292,6624,3830,10837,12,1461.3629498576,12.271295417278,39.3760248554414,893.242426857685,516.473202727194,NA,NA
"CA04313",1994,"San Jose",815235,33,375,1109,4398,5915,12,725.55766128785,4.04791256508859,45.9990064214613,136.034394990402,539.476347310898,NA,NA
"WASPD00",1994,"Seattle",540268,69,318,2536,3615,6538,12,1210.14015266497,12.7714393597252,58.8596770491682,469.396669800914,669.112366455167,NA,NA
"MOSPD00",1994,"St. Louis, Mo.",390437,248,304,6025,8067,14644,12,3750.66912203505,63.5185702174743,77.8614731698072,1543.14268371082,2066.14639493696,NA,NA
"NY05101",1994,"Suffolk County, N.Y.",1209231,37,40,1226,1220,2523,5,208.644998350191,3.05979585372853,3.30788740943625,101.386749099221,100.890565987805,"NY Division of Criminal Justice Services","https://data.ny.gov/Public-Safety/Index-Crimes-by-County-and-Agency-Beginning-1990/ca8h-8gjq"
"FL02902",1994,"Tampa, Fla.",294663,62,298,3378,6524,10262,12,3482.62252132097,21.040985804122,101.132480155296,1146.39435558587,2214.05469977568,NA,NA
"AZ01003",1994,"Tucson, Ariz.",441402,37,289,1012,3544,4882,12,1106.02126859416,8.38238159319623,65.4731967684786,229.26946411661,802.896226115876,NA,NA
"OK07205",1994,"Tulsa, Okla.",381640,42,296,1071,3230,4639,12,1215.54344408343,11.0051357300073,77.5600041924327,280.630961115187,846.347343045802,NA,NA
"VA12800",1994,"Virginia Beach, Va.",427471,33,145,609,371,1158,12,270.895569524014,7.71982192944083,33.9204296899673,142.465804697863,86.7895132067438,NA,NA
"DCMPD00",1994,"Washington, D.C.",570000,399,249,6311,8218,15177,12,2662.63157894737,70,43.6842105263158,1107.19298245614,1441.75438596491,NA,NA
"KS08703",1994,"Wichita, Kan.",316629,42,224,1060,1024,2350,12,742.193545126947,13.2647357001412,70.7452570674196,334.776662908325,323.406889451061,NA,NA
"NM00101",1995,"Albuquerque, N.M.",419714,53,296,1623,2763,4735,12,1128.14916824314,12.6276464449601,70.5242141077019,386.691890191893,658.305417498582,NA,NA
"TX22001",1995,"Arlington, Texas",292324,9,154,521,1892,2576,12,881.213995429729,3.07877560515045,52.6812714659077,178.226898920376,647.227049438294,NA,NA
"GAAPD00",1995,"Atlanta",404337,184,441,5260,8859,14744,12,3646.46322250994,45.5065947464615,109.067436321682,1300.8950454695,2190.9941459723,NA,NA
"CO00101",1995,"Aurora, Colo.",256957,18,138,549,1253,1958,12,761.995197640072,7.00506310394346,53.7054837968999,213.654424670276,487.630226068953,NA,NA
"TX22701",1995,"Austin, Texas",523691,46,308,1336,2360,4050,12,773.35680773586,8.78380571749371,58.8133078475666,255.11227040373,450.647423767069,NA,NA
"MDBPD00",1995,"Baltimore",712209,322,683,11353,9134,21492,12,3017.65352586109,45.2114477632268,95.898816218273,1594.05455421091,1282.48870766868,NA,NA
